,HitRate@10,Precision@10,Recall@10,NDCG@10,RMSE,MAE,Diversity,Novelty,Coverage,Serendipity
TF-IDF,0.6433,0.0893,0.4399,0.2874,2.4587,2.4486,0.9634,8.8282,0.8413,0.1038
BoW,0.6233,0.0843,0.4082,0.2777,2.2324,2.2139,0.9361,8.9656,0.8413,0.1038
