,HitRate@10,Precision@10,Recall@10,NDCG@10,RMSE,MAE,Diversity,Novelty,Coverage,Serendipity
TF-IDF,0.43,0.0527,0.2771,0.1708,2.2729,2.2546,0.9514,12.8825,0.5537,0.1212
BoW,0.4133,0.0497,0.2597,0.169,2.0117,1.982,0.9135,13.1735,0.5638,0.119
