,HitRate@10,Precision@10,Recall@10,NDCG@10,RMSE,MAE,Diversity,Novelty,Coverage,Serendipity
TF-IDF,0.4333,0.0503,0.2515,0.1562,2.2866,2.2718,0.9472,12.8242,0.4886,0.12
BoW,0.4133,0.0477,0.248,0.1556,2.0127,1.9882,0.9148,13.0921,0.5505,0.1183
