,HitRate@10,Precision@10,Recall@10,NDCG@10,RMSE,MAE,Diversity,Novelty,Coverage,Serendipity
User-KNN,0.6054,0.0721,0.5221,0.3077,0.2914,0.0283,0.9565,8.2129,0.3257,0.11
User-Pearson,0.0612,0.0061,0.051,0.0283,2.6458,2.3333,0.956,9.1691,0.1401,0.1163
User-Cosine,0.6803,0.0803,0.5782,0.3211,0.2762,0.0254,0.9556,7.955,0.3029,0.1183
Item-KNN,0.2177,0.0231,0.1695,0.0884,0.1715,0.0294,0.9588,8.945,0.3876,0.0924
Item-Pearson,0.2449,0.0259,0.1689,0.0938,0.0,0.0,0.9538,8.1736,0.2899,0.1236
Item-Cosine,0.1769,0.0177,0.1321,0.0716,0.0,0.0,0.9585,9.0644,0.4007,0.0976
Item-Content-TFIDF,0.1565,0.0156,0.1241,0.0564,0.0,0.0,0.9623,13.524,0.6678,0.0927
Item-Content-BoW,0.1224,0.0122,0.102,0.0534,0.0,0.0,0.9616,13.5834,0.7036,0.0833
MF,0.0,0.0,0.0,0.0,,,0.9627,17.7089,0.4723,0.0483
